id,text,nreposts,nlikes,nviews,tag
30712,"*на паре в зуме*Добрый день, мои любимые чёрные квадраты.",6,601,6794.0,Энтина_ВШЭ
30708,Не ходите девки в лес - там завёлся ЛМС!,7,290,5759.0,Сорвин_ВШЭ
30707,"чат Zoom: С - извините, у меня неустойчивая связь, можно сегодня без видео? С - да, у меня тоже так. С - аналогично.П - хорошо, но в следующий раз подключайтесь не в пижамах и включайте видео. ",2,358,10696.0,Преподаватель_ВШЭ
30662,"— Поздравляю всех с переходом на второй курс. Это был героический поступок. — В чём разница между греческой и римской литературой? — В языке? — Очень глубокий ответ. — В Риме было модно обучать греческому по Гомеру. Это очень жестокий способ, потому что Гомер сложный. — Если вы смотрели фильм «Троя», то дальше идёт любовная линия. В фильме «Троя» нет ничего хорошего, кроме симпатичного Брэда Пита. ",3,246,10807.0,История_Литератур_Европы_и_США
30601,"- На этом можно закончить скучную часть и перейти..... к другой скучной части.- Сейчас я буду много нудеть, можете не вдумываться.- Ну что ж, а сейчас самая скучная часть, можете следить по тексту, когда же она закончится.",1,223,8019.0,Мороз_ВШЭ
30589,"*на лекции по уголовному праву в 9:30*Начало дня с уголовного права - это залог хорошего дня. Посмотрите свои гороскопы, там именно так и написано.",5,310,10417.0,Грачева_ВШЭ
30581,с: у меня не грузит.п: вы с чего сидите? с: с ноута.п: а браузер какой? с: виндоус.,1,275,8184.0,Мороз_ВШЭ
30577,Система LMS корявая дура!,5,298,9092.0,Казаков_ВШЭ
30560,"Ты не холоден, не горяч, ты - остывший суп.",3,210,11469.0,Пашкевич_ВШЭ
30548,"- Когда все мои оппоненты вымрут, останутся только мои ученики, то есть вы, и восторжествует моя точка зрения.  ",7,290,7839.0,Штейнер_ВШЭ
30495,"С: А на экзамене можно пить воду?П: Можно пить, можно есть. Просим воздержаться от курения и употребления алкогольных напитков. ",5,268,13767.0,Маркин_ВШЭ
30488,- На экзамене вообще же нереально списать.- Студент не знает слова нереально в вопросах списывания.,3,350,11614.0,Студенты_ВШЭ
30475,Кто вообще обнуляет накоп?,0,209,10679.0,Преподаватель_ВШЭ
30473,Лечиться от макры матаном это как чередовать водку с самогоном во имя выхода из запоя.,3,335,9364.0,Студент_ВШЭ
30467,"С: А можно курить на экзамене?П: Я думаю, если показать пачку в камеру, то можно. Но вы уточните это у учебного офиса.",1,430,12609.0,Котлинская_ВШЭ
30463,"*прошло 10 минут от пары в зуме*С1: пара вообще здесь? Может по другой ссылке войти?С2: Да, наверное. А то мы тут как долбо*бы сидим.П: No-no, I am here.",4,726,16602.0,ЦИУП
30457,"С: Не могли бы вы объяснить, как выставляется аудиторная оценка?П: Как поработал, так и полопал.",4,245,10228.0,Богачёв_ВШЭ
30439,"*показывает скрин своей цитаты из этой группы*«Видите? Вот за этот год, кстати, я туда ни разу не попал, за что на вас обижен. А я, между прочим, старался!»",1,342,11106.0,Хомутский_ВШЭ
30438,— Ответы на семинарах не являются вашей обязанностью. Вы имеете право хранить молчание.,2,275,9959.0,Введение_в_византиноведение_ВШЭ
30414,Crises are like a teenage pregnancy: nobody expects it and doesn't know how to deal with it.,4,239,7896.0,Студент_ВШЭ
30406,"Learning English is like a lemon. Bitter, satisfactory, but is only good with tequila.",4,316,8539.0,Студент_ВШЭ
30385,*в предверии контрольной работы*- Нам нужно проверить вашу способность быстро насиловать калькуляторы.,3,211,9361.0,Макаров_ВШЭ
30333,"Мне однажды про моё исследование сказали, что оно «пахнет Вышкой».",3,347,7940.0,Хавенсон_ВШЭ
30313,"Я хочу, чтобы у вас было время подготовиться, поэтому я перенесу экзамен на одну неделю раньше.",16,398,10551.0,Матвеева_ВШЭ
30298,"Онлайн-лекция. Преподаватель рассказывает про разные виды транспорта. П: По воде кто-нибудь ходит?С: Ну только 1 человек.П: А он здесь есть?С: Нет, его нет уже... 2000 лет примерно.",1,306,10317.0,Майнор_Урбанистика
30281,"Конституция Россия – это последнее место, где любой уважающий себя бог хочет быть.",10,267,6628.0,Хабибулин_ВШЭ
30255,- А можно спросить?*бесплатная конференция Zoom завершается*,0,434,6983.0,Студент_ВШЭ
30250,"Лекция по макроэкономике, *диктуют индекс*С:  - А русскими буквами?П: - Импортными!С: - Возражаю, а как же импортозамещение?*в чате*- Кириллица тоже импортная (since 868).",1,221,7545.0,Кутепова_ВШЭ
30214,"— Студенты, читая Сартра, обычно такие: «Еееее, Сартр, мощь, всё за жизнь сказал, как есть».",3,294,10831.0,Мишура_ВШЭ
30048,"Вышка зря придумала СОП, потому что на самом деле реакция масс всегда отражается в мемах.",7,310,7493.0,Тулум_ВШЭ
30026,"*семинар в зуме*С1: Это че за хуйня, чепушила?С2: Это общий чат вообще-то.",2,336,9744.0,Сутудент_ВШЭ
